,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,id,duration_ms,time_signature,trackName,artistName,explicit,popularity
274,0.768,0.487,4,-8.936,0,0.0431,0.24,0.0,0.175,0.722,137.034,08Isz2ETWSBhvIl8UpKYsp,170388,4,NO LOVE,Shubh,False,82
275,0.373,0.672,4,-5.797,1,0.0326,0.154,4.28e-05,0.321,0.47,84.503,4lBO4Q7Pa816Mk3ptYcYUz,343544,4,"Tere Mere (From ""Chef"")",Armaan Malik,False,58
276,0.768,0.487,4,-8.936,0,0.0431,0.24,0.0,0.175,0.722,137.034,08Isz2ETWSBhvIl8UpKYsp,170388,4,NO LOVE,Shubh,False,82
277,0.863,0.387,5,-10.057,0,0.256,0.365,0.00238,0.06,0.39,100.013,5pcmtf1lwrMqmAWWm248fY,168000,4,DESIRES,AP Dhillon,False,72
278,0.792,0.647,10,-5.447,0,0.334,0.0299,0.0,0.119,0.638,89.029,7B4uYqxTpTOS1sgxFB9Ann,262247,4,The Last Ride,Sidhu Moose Wala,False,76
279,0.647,0.514,8,-10.05,1,0.0593,0.0655,0.0,0.398,0.386,79.975,1DIXPcTDzTj8ZMHt3PDt8p,240693,4,Gangsta,Karan Aujla,False,88
280,0.449,0.923,1,-5.97,1,0.082,0.0193,0.869,0.365,0.616,143.744,7mlagGXcvSapZdWesGpmdS,84817,3,Toxic,AP Dhillon,True,75
281,0.828,0.533,6,-5.779,0,0.091,0.214,2.8e-05,0.307,0.605,93.021,2AilvPt1AQ8PixlCKqkjfj,200659,4,ELEVATED,Shubh,True,78
282,0.622,0.431,11,-8.26,0,0.0293,0.0955,0.0,0.088,0.365,117.919,6XPmY4hIb1RGRyNuq0UBsl,216027,4,Kina Chir,The PropheC,False,71
283,0.622,0.431,11,-8.26,0,0.0293,0.0955,0.0,0.088,0.365,117.919,6XPmY4hIb1RGRyNuq0UBsl,216027,4,Kinna Chir,Kaushik Rai,False,71
284,0.538,0.557,11,-8.678,1,0.0914,0.262,0.914,0.102,0.506,131.03,7H7NyZ3G075GqPx2evsfeb,231724,4,Chamber Of Reflection,Mac DeMarco,False,85
285,0.644,0.818,6,-5.924,0,0.0549,0.431,2.62e-05,0.0806,0.789,118.477,3HFjh7QljnUCBLsoTwMuTj,266653,4,Kya Mujhe Pyar Hai,KK,False,67
286,0.768,0.487,4,-8.936,0,0.0431,0.24,0.0,0.175,0.722,137.034,08Isz2ETWSBhvIl8UpKYsp,170388,4,NO LOVE,Shubh,False,82
287,0.768,0.487,4,-8.936,0,0.0431,0.24,0.0,0.175,0.722,137.034,08Isz2ETWSBhvIl8UpKYsp,170388,4,NO LOVE,Shubh,False,82
288,0.82,0.504,4,-9.113,0,0.141,0.261,7e-06,0.104,0.275,85.016,6ZYxNjuAU9Vy3VtF6W1dtE,199206,4,WE ROLLIN,Shubh,True,78
289,0.262,0.224,9,-20.231,0,0.0463,0.0545,0.95,0.118,0.0388,119.715,5aaXqH8rgKZxg61HjECldi,246272,4,No Time for Caution,Hans Zimmer,False,61
290,0.209,0.152,10,-16.519,0,0.0324,0.5,0.903,0.103,0.0482,80.136,1NkI8DtCnjcWVCVLF0gB71,407533,4,The Batman,Michael Giacchino,False,61
291,0.601,0.794,7,-5.844,0,0.0671,0.00987,1.36e-06,0.388,0.244,114.066,27rdGxbavYJeBphck5MZAF,217467,4,Nothing Breaks Like a Heart (feat. Miley Cyrus),Mark Ronson,False,79
