,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,trackName,artistName
11766,0.624,0.458,6,-6.755,1,0.0287,0.36,3.89e-06,0.311,0.436,80.016,audio_features,5PjfMmF06QtxTPZBZHdhoZ,spotify:track:5PjfMmF06QtxTPZBZHdhoZ,https://api.spotify.com/v1/tracks/5PjfMmF06QtxTPZBZHdhoZ,https://api.spotify.com/v1/audio-analysis/5PjfMmF06QtxTPZBZHdhoZ,245413,4,Everything Has Changed,Taylor Swift
11767,0.37,0.467,5,-9.013,1,0.0273,0.0205,0.572,0.109,0.182,94.485,audio_features,0yc6Gst2xkRu0eMLeRMGCX,spotify:track:0yc6Gst2xkRu0eMLeRMGCX,https://api.spotify.com/v1/tracks/0yc6Gst2xkRu0eMLeRMGCX,https://api.spotify.com/v1/audio-analysis/0yc6Gst2xkRu0eMLeRMGCX,290617,4,Apocalypse,Cigarettes After Sex
11768,0.777,0.526,2,-6.221,1,0.0645,0.302,0.0,0.105,0.389,107.071,audio_features,07bsRv0pcpbG4zJeLsUs1p,spotify:track:07bsRv0pcpbG4zJeLsUs1p,https://api.spotify.com/v1/tracks/07bsRv0pcpbG4zJeLsUs1p,https://api.spotify.com/v1/audio-analysis/07bsRv0pcpbG4zJeLsUs1p,194849,4,Eyes Closed,Ed Sheeran
11769,0.614,0.379,4,-10.48,1,0.0476,0.607,0.000464,0.0986,0.201,107.989,audio_features,1HNkqx9Ahdgi1Ixy2xkKkL,spotify:track:1HNkqx9Ahdgi1Ixy2xkKkL,https://api.spotify.com/v1/tracks/1HNkqx9Ahdgi1Ixy2xkKkL,https://api.spotify.com/v1/audio-analysis/1HNkqx9Ahdgi1Ixy2xkKkL,258987,4,Photograph,Ed Sheeran
11770,0.777,0.526,2,-6.221,1,0.0645,0.302,0.0,0.105,0.389,107.071,audio_features,07bsRv0pcpbG4zJeLsUs1p,spotify:track:07bsRv0pcpbG4zJeLsUs1p,https://api.spotify.com/v1/tracks/07bsRv0pcpbG4zJeLsUs1p,https://api.spotify.com/v1/audio-analysis/07bsRv0pcpbG4zJeLsUs1p,194849,4,Eyes Closed,Ed Sheeran
11771,0.461,0.834,2,-4.868,1,0.0989,0.0232,1.14e-05,0.14,0.471,135.007,audio_features,6PCUP3dWmTjcTtXY02oFdT,spotify:track:6PCUP3dWmTjcTtXY02oFdT,https://api.spotify.com/v1/tracks/6PCUP3dWmTjcTtXY02oFdT,https://api.spotify.com/v1/audio-analysis/6PCUP3dWmTjcTtXY02oFdT,261154,4,Castle on the Hill,Ed Sheeran
11772,0.614,0.379,4,-10.48,1,0.0476,0.607,0.000464,0.0986,0.201,107.989,audio_features,1HNkqx9Ahdgi1Ixy2xkKkL,spotify:track:1HNkqx9Ahdgi1Ixy2xkKkL,https://api.spotify.com/v1/tracks/1HNkqx9Ahdgi1Ixy2xkKkL,https://api.spotify.com/v1/audio-analysis/1HNkqx9Ahdgi1Ixy2xkKkL,258987,4,Photograph,Ed Sheeran
11773,0.534,0.445,4,-9.155,1,0.0292,0.456,0.0684,0.112,0.136,146.107,audio_features,5qfZRNjt2TkHEL12r3sDEU,spotify:track:5qfZRNjt2TkHEL12r3sDEU,https://api.spotify.com/v1/tracks/5qfZRNjt2TkHEL12r3sDEU,https://api.spotify.com/v1/audio-analysis/5qfZRNjt2TkHEL12r3sDEU,282693,4,Everglow,Coldplay
11774,0.614,0.379,4,-10.48,1,0.0476,0.607,0.000464,0.0986,0.201,107.989,audio_features,1HNkqx9Ahdgi1Ixy2xkKkL,spotify:track:1HNkqx9Ahdgi1Ixy2xkKkL,https://api.spotify.com/v1/tracks/1HNkqx9Ahdgi1Ixy2xkKkL,https://api.spotify.com/v1/audio-analysis/1HNkqx9Ahdgi1Ixy2xkKkL,258987,4,Photograph,Ed Sheeran
11775,0.536,0.486,1,-9.431,0,0.037,0.304,0.000479,0.945,0.125,72.727,audio_features,6U8VHaQxzECez4TSt0nmiP,spotify:track:6U8VHaQxzECez4TSt0nmiP,https://api.spotify.com/v1/tracks/6U8VHaQxzECez4TSt0nmiP,https://api.spotify.com/v1/audio-analysis/6U8VHaQxzECez4TSt0nmiP,255853,4,Everglow - Live from Spotify London,Coldplay
11776,0.777,0.526,2,-6.221,1,0.0645,0.302,0.0,0.105,0.389,107.071,audio_features,07bsRv0pcpbG4zJeLsUs1p,spotify:track:07bsRv0pcpbG4zJeLsUs1p,https://api.spotify.com/v1/tracks/07bsRv0pcpbG4zJeLsUs1p,https://api.spotify.com/v1/audio-analysis/07bsRv0pcpbG4zJeLsUs1p,194849,4,Eyes Closed,Ed Sheeran
11777,0.614,0.379,4,-10.48,1,0.0476,0.607,0.000464,0.0986,0.201,107.989,audio_features,1HNkqx9Ahdgi1Ixy2xkKkL,spotify:track:1HNkqx9Ahdgi1Ixy2xkKkL,https://api.spotify.com/v1/tracks/1HNkqx9Ahdgi1Ixy2xkKkL,https://api.spotify.com/v1/audio-analysis/1HNkqx9Ahdgi1Ixy2xkKkL,258987,4,Photograph,Ed Sheeran
11778,0.777,0.526,2,-6.221,1,0.0645,0.302,0.0,0.105,0.389,107.071,audio_features,07bsRv0pcpbG4zJeLsUs1p,spotify:track:07bsRv0pcpbG4zJeLsUs1p,https://api.spotify.com/v1/tracks/07bsRv0pcpbG4zJeLsUs1p,https://api.spotify.com/v1/audio-analysis/07bsRv0pcpbG4zJeLsUs1p,194849,4,Eyes Closed,Ed Sheeran
11779,0.536,0.486,1,-9.431,0,0.037,0.304,0.000479,0.945,0.125,72.727,audio_features,6U8VHaQxzECez4TSt0nmiP,spotify:track:6U8VHaQxzECez4TSt0nmiP,https://api.spotify.com/v1/tracks/6U8VHaQxzECez4TSt0nmiP,https://api.spotify.com/v1/audio-analysis/6U8VHaQxzECez4TSt0nmiP,255853,4,Everglow - Live from Spotify London,Coldplay
11780,0.614,0.379,4,-10.48,1,0.0476,0.607,0.000464,0.0986,0.201,107.989,audio_features,1HNkqx9Ahdgi1Ixy2xkKkL,spotify:track:1HNkqx9Ahdgi1Ixy2xkKkL,https://api.spotify.com/v1/tracks/1HNkqx9Ahdgi1Ixy2xkKkL,https://api.spotify.com/v1/audio-analysis/1HNkqx9Ahdgi1Ixy2xkKkL,258987,4,Photograph,Ed Sheeran
11781,0.616,0.525,7,-7.065,1,0.0258,0.401,0.000484,0.309,0.427,79.976,audio_features,0bmp0lE3ArELHqda9PBMVG,spotify:track:0bmp0lE3ArELHqda9PBMVG,https://api.spotify.com/v1/tracks/0bmp0lE3ArELHqda9PBMVG,https://api.spotify.com/v1/audio-analysis/0bmp0lE3ArELHqda9PBMVG,253773,4,"Iktara (From ""Wake Up Sid"")",Amit Trivedi
11782,0.37,0.467,5,-9.013,1,0.0273,0.0205,0.572,0.109,0.182,94.485,audio_features,0yc6Gst2xkRu0eMLeRMGCX,spotify:track:0yc6Gst2xkRu0eMLeRMGCX,https://api.spotify.com/v1/tracks/0yc6Gst2xkRu0eMLeRMGCX,https://api.spotify.com/v1/audio-analysis/0yc6Gst2xkRu0eMLeRMGCX,290617,4,Apocalypse,Cigarettes After Sex
11783,0.499,0.683,6,-6.373,0,0.0334,0.703,0.00161,0.0749,0.295,134.95,audio_features,1juJ3mwsFerctbngtK42G4,spotify:track:1juJ3mwsFerctbngtK42G4,https://api.spotify.com/v1/tracks/1juJ3mwsFerctbngtK42G4,https://api.spotify.com/v1/audio-analysis/1juJ3mwsFerctbngtK42G4,321613,4,Saware,Pritam
11784,0.237,0.543,7,-8.921,1,0.0372,0.838,3.86e-06,0.0961,0.316,73.896,audio_features,7fpWJr5shT90KiCHXKHxch,spotify:track:7fpWJr5shT90KiCHXKHxch,https://api.spotify.com/v1/tracks/7fpWJr5shT90KiCHXKHxch,https://api.spotify.com/v1/audio-analysis/7fpWJr5shT90KiCHXKHxch,305613,4,Phir Le Aya Dil - Reprise,Pritam
11785,0.469,0.361,0,-8.275,1,0.0293,0.785,0.00154,0.104,0.0775,111.972,audio_features,2uy15favOgEOtS8wjAD9B1,spotify:track:2uy15favOgEOtS8wjAD9B1,https://api.spotify.com/v1/tracks/2uy15favOgEOtS8wjAD9B1,https://api.spotify.com/v1/audio-analysis/2uy15favOgEOtS8wjAD9B1,251277,4,Tum Ho Toh,Farhan Akhtar
11786,0.658,0.721,11,-4.892,1,0.0304,0.576,0.0,0.115,0.562,104.076,audio_features,5fqAR2xqe0zZ6eY4PRsnRk,spotify:track:5fqAR2xqe0zZ6eY4PRsnRk,https://api.spotify.com/v1/tracks/5fqAR2xqe0zZ6eY4PRsnRk,https://api.spotify.com/v1/audio-analysis/5fqAR2xqe0zZ6eY4PRsnRk,178269,4,Love To Go - Acoustic Version,Lost Frequencies
